datetime,open,high,low,close,volume,quote_volume,taker_buy_volume
2024-10-24 03:00:00,67459.63,67474.29,67213.15,67213.16,506.44407,34112768.1419437,146.59291
2024-10-24 04:00:00,67213.16,67442.33,67210.26,67382.19,546.25312,36771419.0100446,271.55155
2024-10-24 05:00:00,67382.2,67479.55,67353.14,67364.0,403.43455,27193651.3437657,188.33719
2024-10-24 06:00:00,67364.01,67475.0,67117.78,67119.99,641.23642,43189892.2527943,249.8684
2024-10-24 07:00:00,67119.99,67321.16,67068.75,67123.08,577.32243,38795807.8729936,252.90328
2024-10-24 08:00:00,67123.09,67260.61,66850.0,66852.87,633.54945,42491042.7273236,275.18747
2024-10-24 09:00:00,66852.88,67005.61,66700.0,66876.0,1136.78891,76007403.2849296,353.83302
2024-10-24 10:00:00,66875.99,67123.0,66852.04,66999.99,1079.75886,72323112.6885746,407.08682
2024-10-24 11:00:00,67000.0,67322.26,66989.92,67285.99,777.47807,52237982.9532966,300.43906
2024-10-24 12:00:00,67286.0,67612.48,67262.0,67517.75,921.95126,62158376.1424999,543.67746
2024-10-24 13:00:00,67517.76,67998.0,67450.0,67905.99,1900.54444,128706131.1141756,1044.10266
2024-10-24 14:00:00,67906.0,67980.0,67529.18,67786.27,1490.59296,100985700.1116911,675.22931
2024-10-24 15:00:00,67786.27,67972.0,67600.0,67701.22,1243.60288,84296613.6943396,754.53441
2024-10-24 16:00:00,67701.21,67793.34,67350.01,67574.14,888.58253,60071899.1107669,475.57909
2024-10-24 17:00:00,67574.15,67859.5,67460.0,67653.44,789.36736,53410658.4331529,521.34728
2024-10-24 18:00:00,67653.45,67958.0,67627.5,67832.0,687.80118,46645547.9354533,393.5271
2024-10-24 19:00:00,67831.99,68323.0,67732.54,68309.79,1652.44687,112561716.8319131,1043.65551
2024-10-24 20:00:00,68309.79,68341.64,67978.04,68196.0,946.04241,64493507.0823928,528.06555
2024-10-24 21:00:00,68196.0,68850.0,68196.0,68348.01,1198.62429,82137992.2595107,634.57603
2024-10-24 22:00:00,68348.0,68557.99,68183.78,68183.78,563.32651,38519594.9208396,283.12594
2024-10-24 23:00:00,68183.78,68264.97,68055.75,68198.28,442.00165,30136483.3259811,207.1399
2024-10-25 00:00:00,68198.27,68286.56,67903.0,67989.27,603.33465,41076376.883082,250.43454
2024-10-25 01:00:00,67989.26,68010.01,67845.01,67969.7,508.33758,34523318.8756809,215.13343
2024-10-25 02:00:00,67969.7,68080.0,67836.0,68066.99,478.05039,32501925.0345665,212.69719
